-	*	(ARG0*)	*	*	
V	(V*)	*	*	*	
-	*	*	*	*	
V	*	(V*)	*	*	
-	*	(ARG1*	*	*	
-	*	*)	*	*	
-	*	*	*	*	
-	*	*	(ARG1*)	(ARG0*)	
V	*	*	(V*)	*	
V	*	*	(ARG2*)	(V*)	
-	*	*	*	*	

-	(ARG1*)	(ARG0*)	*	*	
V	(V*)	*	*	*	
-	(ARGM-NEG*)	(ARGM-NEG*)	*	*	
V	(ARG2*	(V*)	*	*	
-	*	(ARG1*	*	*	
-	*	*	*	*	
-	*	*	(ARG0*)	(ARG1*	
-	*	*	*	*	
V	*	*	(V*)	*	
-	*	*	*	*	
-	*	*	(ARG1*)	*)	
V	*)	*)	*	(V*)	

-	(ARG0*)	*	*	*	
V	(V*)	*	*	*	
-	(ARG1*	*	(ARG0*)	(ARG0*)	
V	*	(V*)	*	*	
V	*	*	(V*)	*	
-	*	*	(ARG1*	*	
-	*	*	*)	*	
-	*	*	(ARGM-MNR*	*	
V	*	*	*	(V*)	
-	*	*	*	(ARG1*	
-	*)	*	*)	*)	
-	*	*	*	*	

-	*	(ARG1*)	(ARG0*)	*	
V	(V*)	*	*	*	
-	*	(ARGM-ADV*)	(ARGM-ADV*)	*	
V	*	(V*)	*	*	
V	*	(ARG2*	(V*)	*	
-	*	*	(ARG2*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*)	*)	*	
-	*	(ARGM-ADV*	(ARGM-ADV*	*	
V	*	*	*	(V*)	
-	*	*	*	(ARG2*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*)	*)	*)	
-	*	*	*	*	

-	(ARG0*	*	(ARG0*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*)	*	*)	*	
V	(V*)	*	*	*	
-	(ARG1*	(ARGM-ADJ*)	*	*	
V	*)	(V*)	*	*	
-	(ARG2*	*	*	*	
-	*)	*	*	*	
-	*	*	*	*	
V	*	*	(V*)	*	
-	*	*	(ARG1*	*	
-	*	*	*	(ARGM-ADJ*)	
V	*	*	*	(V*)	
-	*	*	*	(ARG1*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*)	*)	
-	*	*	*	*	

-	(ARG0*)	*	*	*	
-	(ARGM-MOD*)	*	*	*	
V	(V*)	*	*	*	
-	(ARG1*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
-	*	*	*	*	
V	*)	(V*)	*	*	
-	(ARGM-TMP*	*	(ARGM-TMP*)	(ARGM-TMP*)	
-	*	*	(ARG1*)	(ARG0*)	
V	*	*	(V*)	*	
V	*)	*	(ARG2*)	(V*)	
-	*	*	*	*	

-	*	(ARGM-DIS*)	*	*	
-	*	(ARG0*	*	*	
-	*	*)	*	*	
V	(V*)	*	*	*	
V	*	(V*)	*	*	
-	*	(ARG1*	*	*	
-	*	*	*	*	
-	*	*	*	(ARG1*	
-	*	*	*	*	
-	*	*	(ARG1*)	*	
V	*	*	(V*)	*)	
-	*	*	(ARGM-ADJ*	(R-ARG1*)	
-	*	*	*	(ARG0*)	
V	*	*)	*)	(V*)	
-	*	*	*	*	
-	*	(ARGM-ADV*	*	*	
