  SYNTACTIC SCORES:
  Labeled   attachment score: 0 / 25096 * 100 = 0.00 %
  Unlabeled attachment score: 17821 / 25096 * 100 = 71.01 %
  Label accuracy score:       0 / 25096 * 100 = 0.00 %
  Exact syntactic match:      0 / 2077 * 100 = 0.00 %

  SEMANTIC SCORES: 
  Labeled precision:          (2159 + 4729) / (8242 + 4799) * 100 = 52.82 %
  Labeled recall:             (2159 + 4729) / (9435 + 4799) * 100 = 48.39 %
  Labeled F1:                 50.51 
  Unlabeled precision:        (2926 + 4799) / (8242 + 4799) * 100 = 59.24 %
  Unlabeled recall:           (2926 + 4799) / (9435 + 4799) * 100 = 54.27 %
  Unlabeled F1:               56.65 
  Proposition precision:      913 / 4799 * 100 = 19.02 %
  Proposition recall:         913 / 4799 * 100 = 19.02 %
  Proposition F1:             19.02 
  Exact semantic match:       754 / 2077 * 100 = 36.30 %

  OVERALL MACRO SCORES (Wsem = 0.50):
  Labeled macro precision:    26.41 %
  Labeled macro recall:       24.20 %
  Labeled macro F1:           25.25 %
  Unlabeled macro precision:  65.12 %
  Unlabeled macro recall:     62.64 %
  Unlabeled macro F1:         63.86 %
  Exact overall match:        0 / 2077 * 100 = 0.00 %

  OVERALL MICRO SCORES:
  Labeled micro precision:    (0 + 2159 + 4729) / (25096 + 8242 + 4799) * 100 = 18.06 %
  Labeled micro recall:       (0 + 2159 + 4729) / (25096 + 9435 + 4799) * 100 = 17.51 %
  Labeled micro F1:           17.78 
  Unlabeled micro precision:  (17821 + 2926 + 4799) / (25096 + 8242 + 4799) * 100 = 66.98 %
  Unlabeled micro recall:     (17821 + 2926 + 4799) / (25096 + 9435 + 4799) * 100 = 64.95 %
  Unlabeled micro F1:         65.95 

  ================================================================================

  Evaluation of the syntactic results in model/srlreplaced/xpos/goldpos/goldframes/1-300-1-0-0-0-glove-english-1-Char-2-xposembeddings-3-one-hot-ee4d9/predicted-props-conll09.tsv
  vs. gold standard model/srlreplaced/xpos/goldpos/goldframes/1-300-1-0-0-0-glove-english-1-Char-2-xposembeddings-3-one-hot-ee4d9/target-props-conll09.tsv:

  Legend: '.S' - the beginning of a sentence, '.E' - the end of a sentence

  Number of non-scoring tokens: 0

  The overall accuracy and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Accuracy   | words | right |   %  | right |   %  | both  |   %
             |       | head  |      |  dep  |      | right |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 | 17821 |  71% |     0 |   0% |     0 |   0%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 | 17821 |  71% |     0 |   0% |     0 |   0%
  -----------+-------+-------+------+-------+------+-------+-------


  The overall error rate and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Error      | words | head  |   %  |  dep  |   %  | both  |   %
  Rate       |       | err   |      |  err  |      | wrong |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 |  7275 |  29% | 25096 | 100% |  7275 |  29%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 |  7275 |  29% | 25096 | 100% |  7275 |  29%
  -----------+-------+-------+------+-------+------+-------+-------


  Precision and recall of DEPREL

  ----------------+------+---------+--------+------------+---------------
  deprel          | gold | correct | system | recall (%) | precision (%) 
  ----------------+------+---------+--------+------------+---------------
  $               |    0 |       0 |     28 |        NaN |          0.00
  -RRB-           |    0 |       0 |      2 |        NaN |          0.00
  ADD             |    0 |       0 |     34 |        NaN |          0.00
  CC              |    0 |       0 |      1 |        NaN |          0.00
  CD              |    0 |       0 |    254 |        NaN |          0.00
  DT              |    0 |       0 |     58 |        NaN |          0.00
  GW              |    0 |       0 |      9 |        NaN |          0.00
  IN              |    0 |       0 |     14 |        NaN |          0.00
  JJ              |    0 |       0 |   1099 |        NaN |          0.00
  JJR             |    0 |       0 |      9 |        NaN |          0.00
  JJS             |    0 |       0 |      4 |        NaN |          0.00
  LS              |    0 |       0 |      1 |        NaN |          0.00
  MD              |    0 |       0 |      5 |        NaN |          0.00
  NN              |    0 |       0 |   5649 |        NaN |          0.00
  NNP             |    0 |       0 |   2187 |        NaN |          0.00
  NNPS            |    0 |       0 |     63 |        NaN |          0.00
  NNS             |    0 |       0 |   1710 |        NaN |          0.00
  PRP             |    0 |       0 |    101 |        NaN |          0.00
  RB              |    0 |       0 |    178 |        NaN |          0.00
  RBR             |    0 |       0 |      3 |        NaN |          0.00
  RBS             |    0 |       0 |      2 |        NaN |          0.00
  ROOT            |    0 |       0 |   1947 |        NaN |          0.00
  UH              |    0 |       0 |     33 |        NaN |          0.00
  VB              |    0 |       0 |   1305 |        NaN |          0.00
  VBD             |    0 |       0 |    383 |        NaN |          0.00
  VBG             |    0 |       0 |    399 |        NaN |          0.00
  VBN             |    0 |       0 |    715 |        NaN |          0.00
  VBP             |    0 |       0 |    412 |        NaN |          0.00
  VBZ             |    0 |       0 |    185 |        NaN |          0.00
  WDT             |    0 |       0 |      5 |        NaN |          0.00
  WP              |    0 |       0 |     25 |        NaN |          0.00
  WRB             |    0 |       0 |     20 |        NaN |          0.00
  _               |    0 |       0 |   8256 |        NaN |          0.00
  acl             |  173 |       0 |      0 |       0.00 |           NaN
  acl:relcl       |  218 |       0 |      0 |       0.00 |           NaN
  advcl           |  373 |       0 |      0 |       0.00 |           NaN
  advmod          | 1283 |       0 |      0 |       0.00 |           NaN
  amod            | 1172 |       0 |      0 |       0.00 |           NaN
  appos           |  186 |       0 |      0 |       0.00 |           NaN
  aux             |  825 |       0 |      0 |       0.00 |           NaN
  aux:pass        |  115 |       0 |      0 |       0.00 |           NaN
  case            | 1978 |       0 |      0 |       0.00 |           NaN
  cc              |  749 |       0 |      0 |       0.00 |           NaN
  cc:preconj      |    9 |       0 |      0 |       0.00 |           NaN
  ccomp           |  238 |       0 |      0 |       0.00 |           NaN
  compound        | 1152 |       0 |      0 |       0.00 |           NaN
  compound:prt    |   89 |       0 |      0 |       0.00 |           NaN
  conj            |  863 |       0 |      0 |       0.00 |           NaN
  cop             |  561 |       0 |      0 |       0.00 |           NaN
  csubj           |   23 |       0 |      0 |       0.00 |           NaN
  csubj:pass      |    1 |       0 |      0 |       0.00 |           NaN
  dep             |    1 |       0 |      0 |       0.00 |           NaN
  det             | 1830 |       0 |      0 |       0.00 |           NaN
  det:predet      |   22 |       0 |      0 |       0.00 |           NaN
  discourse       |  122 |       0 |      0 |       0.00 |           NaN
  dislocated      |    1 |       0 |      0 |       0.00 |           NaN
  expl            |   66 |       0 |      0 |       0.00 |           NaN
