From > >
the > >
AP >ARG2 >ARG2
comes  
this > >
story <ARG1 <ARG1
: << <<

President >ARG0 >ARG0
Bush < <
on > >
Tuesday >ARGM-TMP >ARGM-TMP
nominated  <<<
two > >
individuals <ARG1 <ARG1
to > >
replace <ARG2 <ARG2
retiring > >
jurists <ARG1 <ARG1
on < <
federal < <
courts < <
in < <
the < <
Washington < <
area < <
.  

Bush >ARG0 >ARG0
nominated  
Jennifer <ARG1 <ARG1
M. < <
Anderson < <
for > >
a > >
15 > >
- > >
year > >
term <ARG2 <ARG2
as < <
associate < <
judge < <
of < <
the < <
Superior < <
Court < <
of  
the  
District < <
of  
Columbia  
, <<< <<<
replacing <ARGM-ADV <ARGM-ADV
Steffen <ARG1 <ARG1
W. < <
Graae < <
.  

***  

Bush >ARG0 >ARG0
also >ARGM-DIS >ARGM-ADV
nominated  
A. <ARG1 <ARG1
Noel < <
Anketell < <
Kramer < <
for > >
a > >
15 > >
- > >
year > >
term <ARG2 <ARG2
as < <
associate < <
judge < <
of < <
the < <
District < <
of  
Columbia  <
Court < <
of  
Appeals  <
, <<< <<<
replacing <ARGM-ADV <ARGM-ADV
John <ARG1 <ARG1
Montague < <
Steadman < <
.  

The > >
sheikh >>>ARG1 >>>ARG1
in < <
wheel < <
- < <
chair < <
has > >
been > >
attacked  
with > >>
a > >>
F > >
- > >
16 > >ARG0
- > >
launched > >
bomb <ARGM-MNR <<ARG1
. << <<<

He >>ARG1 >>ARG1
could >>ARGM-MOD >>ARGM-MOD
be > >
killed  
years > >
ago <ARGM-TMP <ARGM-TMP
and >> >>
the > >
israelians >ARG0 >ARG0
have <<< <<<
all > >
the > >
reasons <ARG1 <ARG1
, << <<
since >> >>
he >ARG0 >ARG0
founded <ARGM-CAU <ARGM-CAU
and >> >>
he >ARG1 >ARG1
is > >
the > >
spiritual > >
leader <ARG2 <ARG2
of > <
Hamas <<ARG1 <
, > >
but > >
they > >
did  <
n't < <
.  

Today > >
's > >
incident >ARG0 >ARG0
proves  
that >> >>
Sharon >>ARG0 >>ARG0
has > >
lost <<ARG1 <<ARG1
his > >
patience <ARG1 <ARG1
and >> >>
his >ARG0 >ARG0
hope << <<
in > >
peace <ARG1 <ARG1
.  

Nervous > >
people >>ARG0 >>ARG0
make >ARGM-LVB >ARGM-LVB
mistakes <ARGM-PRR <ARGM-PRR
, << >>>
so >ARGM-ADV >ARGM-ADV
I >ARG0 >ARG0
suppose  
there >> >>
will >ARGM-MOD >ARGM-MOD
be <ARG1 <ARG1
a > >
wave <ARG1 <ARG1
of >>> >>>
succesfull >ARGM-MNR >ARGM-ADJ
arab >ARG0 >ARG0
attacks <ARG1 <ARG0
.  

A  >
la  >
guerre  >ARGM-LOC
c'est  >ARG1
comme  >
a  >
la  >
guerre  <ARG2
!  <

In > >
the > >
eastern > >
city >ARGM-LOC >ARGM-LOC
of < <
Baqubah < <
, >> >>
guerrillas >ARG0 >ARG0
detonated  
a > >
car > >
bomb <ARG1 <ARG1
outside > >
a > >
police > >
station <ARGM-LOC <ARGM-LOC
, <<< <<<
killing <ARGM-ADV <ARGM-ADV
several > >
people <ARG1 <ARG1
.  

The > >
US >ARG0 >ARG0
lost  
yet > >
another > >
helicopter <ARG1 <ARG1
to >> >>
hostile >ARGM-ADJ >ARGM-ADJ
fire <ARG3 <ARG0
near > >
Habbaniyah <ARGM-LOC <ARGM-LOC
in < >
the < >
Sunni < >
heartland < <<ARGM-LOC
, >>> >>>
but >>> >>>
this > >
time >ARGM-TMP >ARGM-TMP
the > >
crew >ARG1 >ARG1
was > >
safe <ARG2 <ARG2
.  

In > >
Fallujah >ARGM-LOC >ARGM-LOC
, >> >>
hundreds >ARG1 >ARG1
of < <
demonstrators < <
came  
out <ARGM-DIR <
against > >
US > >
troops <ARGM-PRD <ARGM-GOL
when >ARGM-TMP >ARGM-TMP
they >ARG0 >ARG0
briefly >ARGM-TMP >ARGM-TMP
arrested <ARGM-TMP <ARGM-TMP
a > >
yound > >
newlywed > >
bride <ARG1 <ARG1
.  

( >> >>
I >ARG0 >ARG0
hope  
that >> >>
the > >
US > >
army >ARG0 >ARG0
got <ARG1 <ARG1
an > >
enormous > >
amount <ARG1 <ARG1
of < <
information < <
from > >
her > >
relatives <ARG2 <ARG2
,  
because  
otherwise >>ARGM-ADV >ARGM-ADV
this > >
move >ARG1 >ARG1
was >>> >>
a >>> >>
bad >ARGM-ADJ >ARGM-ADJ
, >> >>
bad >ARGM-ADJ >ARGM-ADJ
tradeoff <<<<ARGM-CAU <<<ARGM-ADV
)  
.  

The > >
US > >
troops >ARG0 >ARG0
fired  
into > >
the > >
hostile > >
crowd <ARGM-GOL <ARG1
, << <<
killing <ARGM-ADV <ARGM-ADV
4 <ARG1 <ARG1
.  

It >>ARG1 >
seems  
clear <ARG1 <ARG1
to > >
me <<ARG2 <<ARG2
that >> >>
the > >
manhunt >>>ARG1 >>>ARG1
for < <
high < <
Baath < <
officials < <
in < <
the < <
Sunni < <
heartland < <
is > >
being > >
done <<<<C-ARG1 <<<ARG1
wrong <ARGM-MNR <ARGM-MNR
, > >
or > >
at > >
least > >
in > >
ways >ARG1 <ARGM-MNR
that >R-ARG1 >R-ARG1
are > >
bad <<ARG1 <<ARGM-ADJ
for > >
US > >
standing <ARG2 <ARG1
with < <
local < <
Iraqis < <
.  

Google >>ARG0 >>ARG0
has >> >>
finally >ARGM-TMP >ARGM-TMP
had  
an > >
analyst > >
day <ARG1 <ARG1
-- < <
a > >
chance < <
to > >
present <ARG1 <ARG1
the > >
company > >
's > >
story <ARG1 <ARG1
to > >
the > >
( > >
miniscule > >
number <ARG2 <ARG2
of > <
) > <
people >>ARG0 <
who >>R-ARG0 >>R-ARG0
have >> >>
n't >ARGM-NEG >ARGM-NEG
heard <<< <<<
it <ARG1 <ARG1
.  

Usually >ARGM-ADV >ARGM-ADV
, >>> >>>
these >ARG1 >ARG1
are >> >>
just >ARGM-ADV >ARGM-ADJ
a > >
chance <ARG2 <ARG2
for >> >>
the > >
suckups >ARG0 >ARG0
to > >
suck <ARG0 <ARG1
up < <
,  
but  
this > >
time >ARGM-TMP >ARGM-TMP
people >ARG1 >ARG1
are >> >>
actually <ARGM-ADV <ARGM-ADV
concerned <ARG2 <ARG2
about >> >>
the > >
company >ARG0 >ARG0
's < <
plans <ARG0 <ARG0
.  

They >ARG0 >ARG0
work  
on > >
Wall > >
Street <ARGM-LOC <ARG2
, << <<
after > >
all <ARGM-ADV <ARGM-ADV
, <<< 
so >>>>>>ARGM-ADV >>>ARGM-ADV
when >> >ARGM-TMP
they >ARG0 >ARG0
hear >>>>>ARGM-TMP >>>ARGM-TMP
a > >
company <ARG1 >>ARG0
who's > >R-ARG0
stated > >
goals >ARG2 >ARG1
include << <ARG1
" >> <
Do >> >>
n't >ARGM-NEG >ARGM-NEG
be > >
evil <<<ARG1 <<ARG1
,  >>
"  >>
they >ARG0 >ARG0
imagine  
a > >
company <ARG1 <ARG1
who's > 
eventually > >
history >ARG1 >ARG1
will >ARGM-MOD >ARGM-MOD
be <<< <<<
" >> <
Do >> >>
n't >ARGM-NEG >ARGM-NEG
be > >
profitable <<<ARG2 <<ARG2
.  
"  

It >ARG1 >ARG1
's >> >>>
not <ARGM-NEG <ARGM-NEG
quite > <ARGM-ADV
as > >
freewheeling > >
an > >
